"x","y","frame","time_seconds"
515.2265625,319.216796875,109,21.8
515.566473988439,318.938342967245,110,22
513.757446808511,320.048936170213,111,22.2
511.486547085202,320.562780269058,112,22.4
510.185267857143,320.549107142857,113,22.6
508.699561403509,319.710526315789,114,22.8
508.496801705757,319.02132196162,115,23
507.913131313131,317.664646464646,116,23.2
507.277777777778,315.754789272031,117,23.4
505.625258799172,313.542443064182,118,23.6
504.732673267327,312.229702970297,119,23.8
504.17125984252,311.435039370079,120,24
504.201160541586,310.284332688588,121,24.2
504.724550898204,311.201596806387,122,24.4
504.955193482688,311.875763747454,123,24.6
505.379310344828,313.590517241379,124,24.8
504.694092827004,314.037974683544,125,25
503.879668049793,313.854771784232,126,25.2
502.803571428571,313.365079365079,127,25.4
502.585317460317,313.371031746032,128,25.6
503.273092369478,314.04016064257,129,25.8
503.463768115942,314.188405797101,130,26
504.724832214765,315.662192393736,131,26.2
505.044247787611,315.225663716814,132,26.4
505.404395604396,315.116483516484,133,26.6
505.562637362637,315.118681318681,134,26.8
505.64113785558,314.997811816193,135,27
505.805309734513,315.097345132743,136,27.2
505.766004415011,315.079470198675,137,27.4
505.756637168142,315.174778761062,138,27.6
505.731111111111,315.204444444444,139,27.8
505.667405764967,315.186252771619,140,28
505.604026845638,315.183445190157,141,28.2
505.631578947368,314.894736842105,142,28.4
505.612691466083,314.912472647702,143,28.6
505.803097345133,315.37610619469,144,28.8
505.939597315436,315.431767337808,145,29
505.993348115299,315.474501108647,146,29.2
506.308026030369,315.069414316703,147,29.4
506.039301310044,315.087336244541,148,29.6
506.184444444444,315.495555555556,149,29.8
505.89376443418,316.778290993072,150,30
